gene male1 male2 female1 female2 asexual1 asexual2
100144773 2620 2015 789 1431 4457 3341
100144774 2491 1901 2190 3407 6678 5542
100144775 7452 6398 2622 3997 5406 4423
100144776 32 27 8009 11961 1465 1722
100144777 1323 986 951 1279 2398 1929
100144778 624 432 122 181 124 113
100144779 13220 11025 9225 12427 15653 12829
100144780 565 441 131 217 789 799
100144781 1458 1122 288 577 1159 660
100144782 341 378 374 549 656 465
100144783 1080 1175 2140 2346 3331 1771
100144784 3465 2439 8557 10772 8655 6721
100144785 1761 1461 1010 1834 5144 4788
100144787 4304 3296 373 832 558 856
100144788 291 209 142 173 480 343
100144789 16566 12586 8216 13626 11675 15283
100144790 237 178 7 12 7 13
100144791 170 221 36 69 300 317
100144792 0 1 0 0 3 2
100144794 484 453 95 169 227 163
100144795 42 38 58 108 127 104
100144796 1171 985 202 422 361 430
100144797 2422 1927 1429 1914 2976 1923
100144798 1359 1196 1304 1490 3775 3132
100144799 6744 5694 2750 2985 7301 4384
100144800 6810 5369 2504 2770 5281 3745
100144801 1052 886 630 752 1876 1010
100144802 27834 21117 3162 3649 20810 13144
100144867 3163 2905 5767 5199 20137 11404
100144868 3230 2962 5248 5402 17758 10184
100144869 37926 29945 13932 16289 48050 25232
100144870 2525 2382 3688 4169 14439 11102
100144886 2789 2395 1703 2247 3045 2377
100144887 3213 3139 4942 4101 23406 11125
100144888 2802 2748 1400 1804 3535 2078
100144889 3006 2984 4169 4059 14810 9743
100144890 432 528 464 720 3326 3112
100144891 3753 3609 2671 2503 8750 5039
100144892 2009 1931 3276 3087 12148 7733
100144893 2528 2305 4563 4087 16747 9006
100144894 1134 1111 3022 2664 12356 7177
100144895 13796 11887 2581 2860 9967 6397
100144896 984 800 865 787 2180 1456
100144898 6287 4951 2776 3165 5891 4876
100144899 1237 1101 1391 1928 3580 2995
100144900 2535 2204 2767 3528 8254 5246
100144901 2962 3204 4118 3721 15073 7485
100144902 583 597 886 961 3380 1073
100144903 1709 1849 2537 2437 10204 4776
100144904 6689 5247 1491 1662 6216 4061
100144905 610 484 992 1230 2941 2190
100144907 2091 1741 1364 1839 3063 2311
100144908 7643 6184 2776 3084 8285 6558
100144909 7528 5760 3273 4145 9708 6999
100144910 925 824 737 1098 1570 1392
100144911 3227 2391 4709 6706 11866 9775
100144912 7442 5469 3807 4787 12191 8332
100144913 10855 9562 13858 20174 17654 10165
100144915 6045 4892 3513 4513 9861 5921
100144916 1940 1583 2721 3293 11404 9096
100144917 6155 4600 5900 6020 11124 6922
100144918 33939 24955 12254 16812 39713 26392
100145820 2696 2540 4903 5399 19407 13343
100145821 551 435 983 1006 3203 2204
100145822 31033 24525 30088 38763 59898 37275
100145823 1787 1431 1088 2043 2358 2654
100145824 19816 14049 8845 13599 11327 9552
100145825 12559 9553 5357 6149 12876 10568
100145826 5430 4564 2420 3115 7601 6556
100145827 1988 1602 2630 3167 4773 3126
100145828 2583 1903 1381 1853 3722 3097
100145829 2829 2646 2905 2500 12090 6055
100145830 2145 1758 1486 1747 3643 2575
