gene trans1 trans2 trans3 trans4 trans5 trans6
ScZCZ4B_1.g4363 0 4 6 1 0 0
ScZCZ4B_1.g4364 369 122 338 392 211 204
ScZCZ4B_10.g1292 28 1 57 10 2 4
ScZCZ4B_1000.g18019 21 3 21 39 17 49
ScZCZ4B_10003.g7163 0 0 0 0 0 0
ScZCZ4B_10007.g4193 0 0 0 0 0 0
ScZCZ4B_1001.g7205 20 4 6 6 3 0
ScZCZ4B_10037.g4180 0 0 0 0 0 0
ScZCZ4B_10042.g10755 11 4 25 1 2 6
ScZCZ4B_10080.g4245 0 0 0 0 0 0
ScZCZ4B_1009.g18079 0 0 0 0 0 0
ScZCZ4B_1011.g5933 0 0 0 0 0 0
ScZCZ4B_1012.g4227 0 0 0 0 0 0
ScZCZ4B_1014.g1167 0 0 0 0 0 0
ScZCZ4B_10152.g13276 0 0 0 0 0 0
ScZCZ4B_1016.g4382 0 0 0 0 0 0
ScZCZ4B_1018.g18044 0 0 0 0 0 0
ScZCZ4B_1019.g4555 0 0 0 0 0 0
ScZCZ4B_10198.g1245 48 44 115 13 26 29
ScZCZ4B_102.g1011 0 0 0 0 0 0
ScZCZ4B_10204.g1047 0 0 0 0 0 0
ScZCZ4B_10206.g7261 0 0 0 0 0 4
ScZCZ4B_10222.g2417 9 10 32 10 10 6
ScZCZ4B_10223.g13039 0 0 0 0 0 0
ScZCZ4B_10227.g12876 3 0 0 0 2 0
ScZCZ4B_10243.g1311 0 0 0 0 0 0
ScZCZ4B_10249.g7184 6 0 3 2 0 0
ScZCZ4B_103.g4128 0 0 0 0 0 0
ScZCZ4B_1030.g2438 0 0 1 2 0 0
ScZCZ4B_1030.g2439 0 0 0 0 0 0
ScZCZ4B_10311.g2426 0 0 0 0 0 0
ScZCZ4B_10338.g1170 10 2 18 0 1 3
ScZCZ4B_10341.g2376 28 6 14 10 14 1
ScZCZ4B_10343.g18081 0 0 0 0 0 0
ScZCZ4B_10354.g4127 0 0 2 0 0 2
ScZCZ4B_1036.g2373 18 5 16 5 6 4
ScZCZ4B_1036.g2374 0 0 6 0 0 2
ScZCZ4B_1038.g2453 0 0 0 0 0 0
ScZCZ4B_1039.g13238 0 0 0 0 0 0
ScZCZ4B_1039.g13239 0 0 2 0 0 0
ScZCZ4B_104.g2285 240 75 469 107 126 75
ScZCZ4B_1040.g4551 125 41 146 67 51 44
ScZCZ4B_10400.g1096 7 0 6 0 2 0
ScZCZ4B_10404.g4467 0 0 0 0 0 0
ScZCZ4B_10421.g4329 0 0 0 0 0 0
ScZCZ4B_10422.g12862 0 0 0 0 0 0
ScZCZ4B_10428.g4354 0 0 0 0 0 0
ScZCZ4B_10429.g4347 5 7 13 2 5 1
ScZCZ4B_105.g2322 0 0 0 4 0 0
ScZCZ4B_105.g2323 0 1 0 2 4 4
ScZCZ4B_105.g2324 10 0 1 1 2 0
ScZCZ4B_105.g2325 0 0 0 0 0 0
ScZCZ4B_1050.g4195 0 0 0 0 0 0
ScZCZ4B_1050.g4196 184 19 461 40 75 43
ScZCZ4B_1050.g4197 39 25 124 24 34 11
ScZCZ4B_10508.g18272 0 0 0 0 0 0
ScZCZ4B_10516.g13018 0 0 0 0 0 0
ScZCZ4B_1052.g13047 0 0 0 1 2 0
ScZCZ4B_1052.g13048 1 0 0 0 0 0
ScZCZ4B_1052.g13049 19 12 35 8 6 8
ScZCZ4B_1052.g13050 3 0 2 0 2 0
ScZCZ4B_1052.g13051 0 0 0 0 0 0
ScZCZ4B_10552.g17961 0 0 0 0 0 0
ScZCZ4B_10557.g1083 0 0 0 0 0 0
ScZCZ4B_1056.g6918 50 19 91 50 31 42
ScZCZ4B_10567.g4174 0 0 0 0 0 0
ScZCZ4B_10586.g4477 0 0 2 0 0 0
ScZCZ4B_10588.g12967 2 0 0 0 0 0
ScZCZ4B_1059.g4161 5 6 20 52 69 17
ScZCZ4B_106.g13109 0 0 0 0 0 0
ScZCZ4B_1060.g7221 0 0 0 0 0 0
ScZCZ4B_1060.g7222 0 0 0 2 0 0
ScZCZ4B_10608.g13105 6 0 4 0 0 7
ScZCZ4B_1061.g2381 0 0 0 0 0 0
ScZCZ4B_10662.g15131 10 2 37 2 6 9
ScZCZ4B_10667.g15033 0 0 0 0 0 0
ScZCZ4B_10679.g7185 0 0 1 0 0 0
ScZCZ4B_107.g18213 1 0 1 0 0 0
ScZCZ4B_107.g18214 0 0 2 0 0 0
ScZCZ4B_107.g18215 37 24 98 33 58 53
ScZCZ4B_10720.g4154 10 0 20 7 5 0
ScZCZ4B_1073.g15072 30 9 27 18 37 12
ScZCZ4B_1073.g15073 0 0 1 1 0 0
ScZCZ4B_10738.g4213 0 0 0 0 0 0
ScZCZ4B_1075.g1099 13 10 49 2 1 5
ScZCZ4B_1076.g1223 0 0 0 0 0 0
ScZCZ4B_1077.g18333 0 0 0 0 0 0
ScZCZ4B_108.g12891 105 29 176 27 36 38
ScZCZ4B_108.g12892 28 29 58 3 3 2
ScZCZ4B_108.g12893 14 0 28 1 4 4
ScZCZ4B_10801.g10777 2 2 0 0 0 0
ScZCZ4B_10807.g4621 2 0 0 0 0 0
