gene bac body
100144773 786 16075
100144774 1438 26226
100144775 13077 6696
100144776 836 517
100144777 2118 2888
100144778 35 655
100144779 40386 51759
100144780 80 791
100144781 306 2517
100144782 215 8548
100144783 33182 6133
100144784 4 0
100144785 1063 48478
100144787 134 6747
100144788 38 3234
100144789 23758 25868
100144790 0 157
100144791 2 260
100144792 0 1
100144794 49 1929
100144795 34 1180
100144796 162 6054
100144797 1838 1980
100144798 3506 3020
100144799 13959 11372
100144800 9411 8222
100144801 1300 1310
100144802 4271 35543
100144867 13235 12210
100144868 12337 10441
100144869 72830 75251
100144870 11173 9838
100144886 3964 4129
100144887 10225 8551
100144888 7293 3183
100144889 14538 10531
100144890 597 342
100144891 5383 4469
100144892 7235 5690
100144893 7375 8242
100144894 5420 5238
100144895 13297 9277
100144896 758 1134
100144898 6584 4973
100144899 12034 4216
100144900 3222 3714
100144901 9474 8349
100144902 2354 1849
100144903 5999 5162
100144904 7964 5704
100144905 455 876
100144907 3371 2656
100144908 12857 12609
100144909 19888 17221
100144910 1203 1453
100144911 5862 8019
100144912 8590 14625
100144913 24072 19087
100144915 6872 8630
100144916 9424 8769
100144917 7066 8191
100144918 89397 94157
100145820 13413 13860
100145821 1026 1339
100145822 66049 67366
100145823 2860 3137
100145824 12778 16076
100145825 26720 23426
100145826 13071 11169
100145827 3237 3640
100145828 2693 3588
100145829 5123 5383
100145830 4112 2494
100145831 16313 12681
100145832 10994 10042
100145833 14661 9873
100145834 11693 9975
100145835 3534 3990
100145836 8559 8616
100145837 23436 28792
100145838 8837 7244
100145839 10799 14508
100145840 6978 3736
100145841 12296 6213
100145842 6446 7016
100145843 15160 10606
100145844 7044 5054
100145845 14970 12563
100145846 14256 12212
100145847 1986 2296
100145848 12963 10487
100145849 11044 10747
100145850 2867 1277
100145851 1852 8536
100145852 165 483
100145853 148 4684
100145854 266 2173
100145855 515 4944
100158659 565 724
100158660 24026 26666
100158661 30 196
100158662 2648 3605
100158663 451 1290
100158664 2896 2590
100158665 89 97
100158666 412 1224
100158668 5654 5320
100158669 758 1091
100158670 157 326
100158671 1060 1765
100158672 7880 7936
100158673 111 596
100158674 227 563
100158675 1 41
100158676 1763 1661
100158678 0 0
100158679 2934 3001
100158680 147 949
100158681 366 445
