gene bact1 bact2 bact3 body1 body2 body3
ScZCZ4B_1.g4363 0 0 0 3 20 8
ScZCZ4B_1.g4364 111 80 98 74 82 73
ScZCZ4B_10.g1292 4 3 5 6 4 7
ScZCZ4B_1000.g18019 54 32 58 15 22 17
ScZCZ4B_10003.g7163 0 0 2 0 0 0
ScZCZ4B_10007.g4193 0 0 0 1 0 0
ScZCZ4B_1001.g7205 14 21 17 4 11 6
ScZCZ4B_10037.g4180 0 0 0 0 0 0
ScZCZ4B_10042.g10755 20 9 13 35 20 17
ScZCZ4B_10080.g4245 0 0 0 1 0 1
ScZCZ4B_1009.g18079 0 0 0 0 0 0
ScZCZ4B_1011.g5933 0 0 1 0 1 0
ScZCZ4B_1012.g4227 0 0 0 0 0 0
ScZCZ4B_1014.g1167 0 0 0 0 0 0
ScZCZ4B_10152.g13276 0 0 0 0 0 0
ScZCZ4B_1016.g4382 0 0 0 0 0 0
ScZCZ4B_1018.g18044 0 0 0 0 0 0
ScZCZ4B_1019.g4555 0 0 0 0 0 0
ScZCZ4B_10198.g1245 11 6 11 21 23 12
ScZCZ4B_102.g1011 0 0 0 0 0 0
ScZCZ4B_10204.g1047 0 0 0 1 0 0
ScZCZ4B_10206.g7261 0 1 2 0 2 2
ScZCZ4B_10222.g2417 1 4 4 4 10 2
ScZCZ4B_10223.g13039 0 0 0 0 0 0
ScZCZ4B_10227.g12876 149 153 183 11 8 11
ScZCZ4B_10243.g1311 0 0 0 0 0 0
ScZCZ4B_10249.g7184 0 0 0 0 0 0
ScZCZ4B_103.g4128 0 0 0 0 0 0
ScZCZ4B_1030.g2438 0 0 0 0 1 0
ScZCZ4B_1030.g2439 0 0 0 0 0 0
ScZCZ4B_10311.g2426 0 0 1 0 0 1
ScZCZ4B_10338.g1170 32 17 33 156 126 138
ScZCZ4B_10341.g2376 11 7 16 15 20 15
ScZCZ4B_10343.g18081 0 0 0 0 0 1
ScZCZ4B_10354.g4127 0 0 0 0 0 0
ScZCZ4B_1036.g2373 5 1 7 7 5 1
ScZCZ4B_1036.g2374 0 0 0 0 0 0
ScZCZ4B_1038.g2453 0 0 0 0 0 0
ScZCZ4B_1039.g13238 0 0 0 0 0 0
ScZCZ4B_1039.g13239 0 0 2 0 0 0
ScZCZ4B_104.g2285 11 7 25 189 182 165
ScZCZ4B_1040.g4551 27 33 45 370 350 331
ScZCZ4B_10400.g1096 0 0 1 2 3 3
ScZCZ4B_10404.g4467 0 0 0 0 0 0
ScZCZ4B_10421.g4329 0 0 0 0 0 0
ScZCZ4B_10422.g12862 2 4 6 0 1 0
ScZCZ4B_10428.g4354 0 0 0 0 0 0
ScZCZ4B_10429.g4347 2 0 1 0 4 3
ScZCZ4B_105.g2322 0 0 0 0 0 0
ScZCZ4B_105.g2323 1 1 0 1 0 1
ScZCZ4B_105.g2324 0 2 0 0 1 1
ScZCZ4B_105.g2325 0 0 0 0 0 1
ScZCZ4B_1050.g4195 0 0 0 0 0 0
ScZCZ4B_1050.g4196 92 89 85 135 99 129
ScZCZ4B_1050.g4197 15 16 12 22 15 36
ScZCZ4B_10508.g18272 181 236 359 0 0 1
ScZCZ4B_10516.g13018 0 0 0 0 0 0
ScZCZ4B_1052.g13047 0 0 0 0 2 3
ScZCZ4B_1052.g13048 1 0 0 4 3 3
ScZCZ4B_1052.g13049 10 14 3 18 20 13
ScZCZ4B_1052.g13050 2 0 1 2 0 0
ScZCZ4B_1052.g13051 0 0 0 0 0 0
ScZCZ4B_10552.g17961 0 0 0 2 2 9
ScZCZ4B_10557.g1083 0 0 0 1 0 1
ScZCZ4B_1056.g6918 4 1 1 10 21 13
ScZCZ4B_10567.g4174 0 0 0 0 0 0
ScZCZ4B_10586.g4477 0 0 0 0 0 2
ScZCZ4B_10588.g12967 6 3 5 4 0 1
ScZCZ4B_1059.g4161 175 15 22 6 1 5
ScZCZ4B_106.g13109 0 0 0 0 0 0
ScZCZ4B_1060.g7221 0 0 0 0 0 0
ScZCZ4B_1060.g7222 0 0 0 0 0 0
ScZCZ4B_10608.g13105 1 2 0 1 5 3
ScZCZ4B_1061.g2381 0 0 0 3 0 2
ScZCZ4B_10662.g15131 41 20 34 65 64 76
ScZCZ4B_10667.g15033 0 0 0 0 0 0
ScZCZ4B_10679.g7185 0 0 0 0 0 0
ScZCZ4B_107.g18213 69 99 112 1 1 2
ScZCZ4B_107.g18214 11 18 10 4 5 8
ScZCZ4B_107.g18215 122 133 206 327 287 326
ScZCZ4B_10720.g4154 3 4 1 2 4 4
ScZCZ4B_1073.g15072 15 12 19 9 8 6
ScZCZ4B_1073.g15073 0 0 0 0 0 0
ScZCZ4B_10738.g4213 0 0 0 0 0 0
ScZCZ4B_1075.g1099 5 3 6 6 6 5
ScZCZ4B_1076.g1223 0 1 1 2 1 0
ScZCZ4B_1077.g18333 0 0 0 0 0 0
ScZCZ4B_108.g12891 301 290 443 264 259 330
ScZCZ4B_108.g12892 50 49 63 49 49 57
ScZCZ4B_108.g12893 7 10 12 13 14 14
ScZCZ4B_10801.g10777 0 0 0 1 0 1
ScZCZ4B_10807.g4621 0 0 0 9 9 8
ScZCZ4B_10834.g12928 0 0 0 0 0 0
ScZCZ4B_10851.g1086 3 3 1 4 0 1
ScZCZ4B_10856.g7282 2 0 1 14 22 11
ScZCZ4B_1089.g18158 0 0 0 0 0 0
ScZCZ4B_109.g2471 0 0 0 0 0 0
ScZCZ4B_109.g2472 2 0 0 1 0 0
ScZCZ4B_109.g2473 0 0 0 0 0 0
ScZCZ4B_1090.g15128 0 0 0 0 0 0
ScZCZ4B_10903.g2326 1 1 0 0 0 2
ScZCZ4B_1092.g1221 0 1 0 2 0 1
ScZCZ4B_1093.g17962 1 4 3 24 14 8
ScZCZ4B_10951.g18226 3 3 2 2 3 1
ScZCZ4B_10956.g7313 0 0 0 0 0 0
ScZCZ4B_10959.g13221 0 0 0 0 1 0
ScZCZ4B_1097.g1215 0 2 0 1 1 1
ScZCZ4B_10970.g1217 0 0 0 3 3 3
ScZCZ4B_10973.g1122 2 0 0 0 1 2
ScZCZ4B_10987.g13067 0 4 1 3 579 133
ScZCZ4B_10992.g13192 1 5 0 5 7 4
ScZCZ4B_10998.g18113 0 0 0 1 0 3
ScZCZ4B_11.g1348 1 0 0 0 0 2
ScZCZ4B_1101.g7155 0 1 1 1 0 0
ScZCZ4B_11011.g12901 0 0 1 1 1 1
ScZCZ4B_1102.g2287 7 8 5 10 17 28
ScZCZ4B_1104.g12960 219 195 255 30 15 10
ScZCZ4B_1105.g4419 0 0 0 0 0 0
ScZCZ4B_1106.g7202 3 1 1 16 19 23
ScZCZ4B_111.g4247 0 0 0 0 0 0
ScZCZ4B_1110.g19958 0 4 3 7 5 5
ScZCZ4B_1113.g13004 1 0 0 26 17 9
ScZCZ4B_1113.g13005 0 0 0 2 5 0
ScZCZ4B_1113.g13006 1 0 2 8 8 9
ScZCZ4B_1113.g13007 0 0 0 1 0 2
ScZCZ4B_11153.g12941 0 0 1 0 0 1
ScZCZ4B_11155.g2683 0 0 0 0 0 0
ScZCZ4B_1119.g2692 0 1 1 23 8 10
ScZCZ4B_1121.g6923 41 37 51 1 1 0
ScZCZ4B_11226.g4577 0 0 0 1 0 0
ScZCZ4B_1124.g6830 0 0 0 0 0 0
ScZCZ4B_11241.g18043 0 0 0 5 10 6
ScZCZ4B_1125.g1270 0 0 0 0 2 2
ScZCZ4B_11261.g7180 2 0 2 107 117 160
ScZCZ4B_11284.g4408 2 4 3 0 5 7
ScZCZ4B_113.g12860 1 0 1 56 11 20
ScZCZ4B_1130.g2500 65 60 77 83 92 99
ScZCZ4B_1131.g18243 0 0 0 1 0 0
ScZCZ4B_1133.g6936 0 0 0 0 0 0
ScZCZ4B_11342.g7345 1 8 13 8 9 5
ScZCZ4B_11349.g4322 4 6 5 20 17 14
ScZCZ4B_1136.g15175 1 0 0 51 16 28
ScZCZ4B_11365.g7197 1078 1107 1177 25 12 26
ScZCZ4B_11370.g12894 0 0 0 0 0 0
ScZCZ4B_11377.g13038 0 0 0 1 0 0
ScZCZ4B_11385.g10767 1 3 2 40 6 19
