trans1 trans2 trans3 trans4 trans5 trans6 scaffold chr auto male_avg female_avg gene bias
ScZCZ4B_141.g18375 0 0 0 0 0 0 ScZCZ4B_141 chr4 autosomes 0 0 ScZCZ4B_141.g18375 unexpressed
ScZCZ4B_141.g18376 0 0 0 0 0 0 ScZCZ4B_141 chr4 autosomes 0 0 ScZCZ4B_141.g18376 unexpressed
ScZCZ4B_141.g18377 0 0 0 0 0 0 ScZCZ4B_141 chr4 autosomes 0 0 ScZCZ4B_141.g18377 unexpressed
ScZCZ4B_141.g18378 0 0 0 0 1.24578177501208 0 ScZCZ4B_141 chr4 autosomes 0 0.415260591670693 ScZCZ4B_141.g18378 unexpressed
ScZCZ4B_141.g18379 0 0 0 0 0 3.83391288814329 ScZCZ4B_141 chr4 autosomes 0 1.27797096271443 ScZCZ4B_141.g18379 unexpressed
ScZCZ4B_141.g18380 0 3.00087336331519 0 0 0 0 ScZCZ4B_141 chr4 autosomes 1.00029112110506 0 ScZCZ4B_141.g18380 unexpressed
ScZCZ4B_141.g18381 0 0 0 1.59366161400457 0 0 ScZCZ4B_141 chr4 autosomes 0 0.531220538001523 ScZCZ4B_141.g18381 unexpressed
ScZCZ4B_141.g18382 0 0 0 0 0 0 ScZCZ4B_141 chr4 autosomes 0 0 ScZCZ4B_141.g18382 unexpressed
ScZCZ4B_141.g18383 1.09759404810135 0 0 6.37464645601826 0 0 ScZCZ4B_141 chr4 autosomes 0.36586468270045 2.12488215200609 ScZCZ4B_141.g18383 unexpressed
ScZCZ4B_141.g18384 17.5615047696216 21.0061135432063 20.4401392526487 1.59366161400457 7.47469065007251 3.83391288814329 ScZCZ4B_141 chr4 autosomes 19.6692525218255 4.30075505074012 ScZCZ4B_141.g18384 unbiased
ScZCZ4B_141.g18385 120.186548267098 144.041921439129 108.446294368219 74.9020958582146 42.3565803504109 32.5882595492179 ScZCZ4B_141 chr4 autosomes 124.224921358149 49.9489785859478 ScZCZ4B_141.g18385 male-biased
ScZCZ4B_141.g18386 164.090310191152 216.062882158694 209.511427339649 76.4957574722192 53.5686163255196 49.8408675458627 ScZCZ4B_141 chr4 autosomes 196.554873229832 59.9684137812005 ScZCZ4B_141.g18386 male-biased
ScZCZ4B_141.g18387 0 0 0 0 2.49156355002417 0 ScZCZ4B_141 chr4 autosomes 0 0.83052118334139 ScZCZ4B_141.g18387 unexpressed
ScZCZ4B_141.g18388 0.548797024050674 0 0 3.18732322800913 2.49156355002417 0 ScZCZ4B_141 chr4 autosomes 0.182932341350225 1.89296225934443 ScZCZ4B_141.g18388 unexpressed
ScZCZ4B_141.g18389 10.4271434569628 24.0069869065215 17.3173402001607 12.7492929120365 33.6361079253263 13.4186951085015 ScZCZ4B_141 chr4 autosomes 17.2504901878817 19.9346986486214 ScZCZ4B_141.g18389 unbiased
ScZCZ4B_141.g18390 1.09759404810135 0 0.851672468860361 0 0 11.5017386644299 ScZCZ4B_141 chr4 autosomes 0.649755505653904 3.8339128881433 ScZCZ4B_141.g18390 unexpressed
