male1 male2 female1 female2 asexual1 asexual2 scaffold chr male_avg female_avg asexual_avg auto gene bias
100144773 2422.51263888601 2384.15885748636 1173.03713657372 1450.21808975953 3396.03539452566 2644.51558237686 NC_042494.1 chr1 2403.33574818618 1311.62761316662 3020.27548845126 autosomes 100144773 unbiased
100144774 2303.23625323094 2249.27344321666 3255.95859201072 3452.75543802287 5088.3384259911 4386.68223811211 NC_042496.1 chr3 2276.2548482238 3354.3570150168 4737.5103320516 autosomes 100144774 unbiased
100144775 6890.29167365595 7570.14807453981 3898.2298759142 4050.67903897194 4119.1311067547 3500.95552854021 NC_042494.1 chr1 7230.21987409788 3974.45445744307 3810.04331764746 autosomes 100144775 unbiased
100144776 29.5879406276154 31.9465454849289 11907.2933166273 12121.6342219523 1116.26471908909 1363.02179971654 NC_042493.1 chrX 30.7672430562722 12014.4637692898 1239.64325940282 chrX 100144776 female-biased
100144777 1223.27642032298 1166.64051289407 1413.88886803753 1296.17675527774 1827.16914428372 1526.86936797515 NC_042494.1 chr1 1194.95846660852 1355.03281165764 1677.01925612944 autosomes 100144777 unbiased
100144778 576.964842238501 511.144727758862 181.38216813941 183.43079961319 94.4824745167561 89.4433585179842 NC_042493.1 chrX 544.054784998681 182.4064838763 91.9629165173701 chrX 100144778 male-biased
100144779 12223.5179717836 13044.839406346 13715.168041689 12593.8925237189 11926.8884968612 10154.5915613028 NC_042495.1 chr2 12634.1786890648 13154.5302827039 11040.740029082 autosomes 100144779 unbiased
100144780 522.412076706335 521.793576253838 194.762819887399 219.914273569405 601.182841884843 632.435782795304 NC_042493.1 chrX 522.102826480086 207.338546728402 616.809312340074 chrX 100144780 unbiased
100144781 1348.10054484573 1327.55644570704 428.180855935656 584.749013131551 883.106354555809 522.412536476722 NC_042494.1 chr1 1337.82849527638 506.464934533603 702.759445516265 autosomes 100144781 male-biased
100144782 315.296492313027 447.251636789004 556.040417083109 556.372977832273 499.842768411226 368.063377972236 NC_042495.1 chr2 381.274064551015 556.206697457691 433.953073191731 autosomes 100144782 unbiased
100144783 998.592996182021 1390.26633128857 3181.62163785522 2377.50638614665 2538.07356947834 1401.8069728792 NC_042495.1 chr2 1194.4296637353 2779.56401200093 1969.94027117877 autosomes 100144783 unbiased
100144784 3203.81919608398 2885.83794213857 12722.0263341716 10916.6661515651 6594.72433018164 5319.90099645462 NC_042495.1 chr2 3044.82856911128 11819.3462428683 5957.31266331813 autosomes 100144784 female-biased
100144785 1628.26135766346 1728.66307235115 1501.60647394102 1858.63031210271 3919.49878156607 3789.86549189477 NC_042493.1 chrX 1678.46221500731 1680.11839302186 3854.68213673042 chrX 100144785 asexual-biased
100144787 3979.57801441428 3899.84495993798 554.553677999999 843.173620321405 425.171135325402 677.553229127385 NC_042493.1 chrX 3939.71148717613 698.863649160702 551.362182226394 chrX 100144787 male-biased
100144788 269.065335082378 247.289926161116 211.116949801608 175.323360956254 365.738611032604 271.49621213866 NC_042495.1 chr2 258.177630621747 193.220155378931 318.617411585632 autosomes 100144788 unbiased
100144789 15317.3070136587 14891.8230175302 12215.0483068311 13808.9948924272 8895.82975792844 12097.0163560208 NC_042494.1 chr1 15104.5650155944 13012.0215996291 10496.4230569746 autosomes 100144789 unbiased
100144790 219.135685273277 210.610559122864 10.4071735817694 12.1611579854049 5.33368807755881 10.2899439002991 NC_042493.1 chrX 214.873122198071 11.2841657835872 7.81181598892895 chrX 100144790 male-biased
100144791 157.185934584207 261.488390821084 53.522606991957 69.9266584160781 228.586631895378 250.916324338062 NC_042493.1 chrX 209.337162702646 61.7246327040176 239.75147811672 chrX 100144791 unbiased
100144792 0 1.1832053883307 0 0 2.28586631895378 1.5830682923537 NC_042493.1 chrX 0.59160269416535 0 1.93446730565374 chrX 100144792 unexpressed
100144794 447.517601992684 535.992040913807 141.240212895442 171.269641627785 172.963884800836 129.020065826827 NC_042495.1 chr2 491.754821453246 156.254927261613 150.991975313832 autosomes 100144794 male-biased
100144795 38.8341720737453 44.9618047565666 86.2308668203752 109.450421868644 96.7683408357098 82.3195512023926 NC_042495.1 chr2 41.897988415156 97.8406443445096 89.5439460190512 autosomes 100144795 unbiased
100144796 1082.7337023418 1165.45730750574 300.321294788203 427.667389153405 275.065913714104 340.359682856046 NC_042495.1 chr2 1124.09550492377 363.994341970804 307.712798285075 autosomes 100144796 male-biased
100144797 2239.43725625264 2280.03678331326 2124.55014976407 1939.70469867208 2267.57938840215 1522.12016309809 NC_042496.1 chr3 2259.73701978295 2032.12742421807 1894.84977575012 autosomes 100144797 unbiased
100144798 1256.56285352904 1415.11364444352 1938.70776437533 1510.01044985444 2876.3817846835 2479.0849458259 NC_042494.1 chr1 1335.83824898628 1724.35910711488 2677.7333652547 autosomes 100144798 unbiased
100144799 6235.65848726996 6737.171481155 4088.53247855227 3025.08804886946 5563.03666489384 3470.08569683932 NC_042495.1 chr2 6486.41498421248 3556.81026371087 4516.56118086658 autosomes 100144799 unbiased
100144800 6296.68361481441 6352.62972994752 3722.79466410723 2807.20063496429 4023.8866767983 2964.29537743231 NC_042494.1 chr1 6324.65667238096 3264.99764953576 3494.09102711531 autosomes 100144800 unbiased
